Title,Link,Price,Rating,Reviews
"Samsung Galaxy M05 (Mint Green, 4GB RAM, 64 GB Storage) | 50MP Dual Camera | Bigger 6.7"" HD+ Display | 5000mAh Battery | 25W Fast Charging | 2 Gen OS Upgrade & 4 Year Security Update | Without Charger 3.9 out of 5 stars 1,739  5K+ bought in past month₹6,499₹6,499 M.R.P: ₹9,999₹9,999 (35% off)Up to 5% back with Amazon Pay ICICI cardUp to 5% back with Amazon Pay ICICI cardFREE delivery as soon as Sun, 2 Feb, 9 am - 5 pm Or fastest delivery Tomorrow, 31 Jan Add to cart-Remove",https://www.amazon.in/Samsung-Storage-Display-Charging-Security/dp/B0DFY3XCB6/ref=sr_1_1?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBIDyerTatsbYLfbLTzZOtIOI_A4wKUzpQO9Bfkz77owxxV-sQA-2iYlWpxFQGguubTv-NA3ogXbOkmxE9ed9HLFOhJaWFA-OsOMID_OpgDjCgO4I2R6FMrLP8WmDWz2izMQixkmp3tnUUfwdc0TBravL9IwPxmF1h1wA_rPUcPZgdcfVvHZFD-Y5OdgAiaGnZ-c36--3EB9F2hzwFcDz7z420.DV-7XYcFVvKhs9_g9zlCO09IzwobRReJ7yzi0if3UP4&dib_tag=se&keywords=mobiles&qid=1738213605&sr=8-1,"6,499",3.9,"1,739"
"realme NARZO N61 (Voyage Blue,6GB RAM+128GB Storage) 90Hz Eye Comfort Display | IP54 Dust & Water Resistance | 48-Month Fluency | Charger in The Box 4.0 out of 5 stars 1,728  5K+ bought in past monthLimited time deal  ₹8,498₹8,498 M.R.P: ₹10,999₹10,999 (23% off)₹500 off coupon appliedSave ₹500  with coupon FREE delivery as soon as Sun, 2 Feb, 9 am - 5 pm Or fastest delivery Tomorrow, 31 Jan Add to cart-Remove",https://www.amazon.in/realme-Storage-Comfort-Resistance-48-Month/dp/B0D947DTLT/ref=sr_1_2?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBIDyerTatsbYLfbLTzZOtIOI_A4wKUzpQO9Bfkz77owxxV-sQA-2iYlWpxFQGguubTv-NA3ogXbOkmxE9ed9HLFOhJaWFA-OsOMID_OpgDjCgO4I2R6FMrLP8WmDWz2izMQixkmp3tnUUfwdc0TBravL9IwPxmF1h1wA_rPUcPZgdcfVvHZFD-Y5OdgAiaGnZ-c36--3EB9F2hzwFcDz7z420.DV-7XYcFVvKhs9_g9zlCO09IzwobRReJ7yzi0if3UP4&dib_tag=se&keywords=mobiles&qid=1738213605&sr=8-2,"8,498",4.0,"1,728"
"Redmi 13C 5G (Starlight Black, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display 4.0 out of 5 stars 12,012  5K+ bought in past month₹9,099₹9,099 M.R.P: ₹13,999₹13,999 (35% off)Up to 5% back with Amazon Pay ICICI cardUp to 5% back with Amazon Pay ICICI card FREE delivery Sat, 1 Feb Or fastest delivery Today Add to cart-Remove",https://www.amazon.in/Redmi-Starlight-Storage-MediaTek-Dimensity/dp/B0CNX89QR8/ref=sr_1_3?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBIDyerTatsbYLfbLTzZOtIOI_A4wKUzpQO9Bfkz77owxxV-sQA-2iYlWpxFQGguubTv-NA3ogXbOkmxE9ed9HLFOhJaWFA-OsOMID_OpgDjCgO4I2R6FMrLP8WmDWz2izMQixkmp3tnUUfwdc0TBravL9IwPxmF1h1wA_rPUcPZgdcfVvHZFD-Y5OdgAiaGnZ-c36--3EB9F2hzwFcDz7z420.DV-7XYcFVvKhs9_g9zlCO09IzwobRReJ7yzi0if3UP4&dib_tag=se&keywords=mobiles&qid=1738213605&sr=8-3,"9,099",4.0,"12,012"
"Redmi A3X (Midnight Black, 64 GB) (4 GB RAM) 4.2 out of 5 stars 9  2K+ bought in past month₹6,402₹6,402 M.R.P: ₹8,999₹8,999 (29% off)Up to 5% back with Amazon Pay ICICI cardUp to 5% back with Amazon Pay ICICI card FREE delivery Sat, 1 Feb Or fastest delivery Tomorrow, 31 Jan Add to cart-RemoveMore Buying Choices₹6,345(9 new offers)",https://www.amazon.in/Redmi-A3X-Midnight-Black-RAM/dp/B0DN1XC123/ref=sr_1_4?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBIDyerTatsbYLfbLTzZOtIOI_A4wKUzpQO9Bfkz77owxxV-sQA-2iYlWpxFQGguubTv-NA3ogXbOkmxE9ed9HLFOhJaWFA-OsOMID_OpgDjCgO4I2R6FMrLP8WmDWz2izMQixkmp3tnUUfwdc0TBravL9IwPxmF1h1wA_rPUcPZgdcfVvHZFD-Y5OdgAiaGnZ-c36--3EB9F2hzwFcDz7z420.DV-7XYcFVvKhs9_g9zlCO09IzwobRReJ7yzi0if3UP4&dib_tag=se&keywords=mobiles&qid=1738213605&sr=8-4,"6,402",4.2,9
"POCO C61 Ethereal Blue 4GB RAM 64GB ROM 3.8 out of 5 stars 255  5K+ bought in past month₹5,999₹5,999 M.R.P: ₹8,999₹8,999 (33% off)₹100 off coupon appliedSave ₹100  with coupon  FREE delivery Sat, 1 Feb Or fastest delivery Today Add to cart-Remove",https://www.amazon.in/POCO-C61-Ethereal-Blue-64GB/dp/B0CYBLHZPW/ref=sr_1_5?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBIDyerTatsbYLfbLTzZOtIOI_A4wKUzpQO9Bfkz77owxxV-sQA-2iYlWpxFQGguubTv-NA3ogXbOkmxE9ed9HLFOhJaWFA-OsOMID_OpgDjCgO4I2R6FMrLP8WmDWz2izMQixkmp3tnUUfwdc0TBravL9IwPxmF1h1wA_rPUcPZgdcfVvHZFD-Y5OdgAiaGnZ-c36--3EB9F2hzwFcDz7z420.DV-7XYcFVvKhs9_g9zlCO09IzwobRReJ7yzi0if3UP4&dib_tag=se&keywords=mobiles&qid=1738213605&sr=8-5,"5,999",3.8,255
"OnePlus Nord CE4 Lite 5G (Super Silver, 8GB RAM, 128GB Storage) 4.1 out of 5 stars 4,381  5K+ bought in past monthLimited time deal  ₹17,998₹17,998 M.R.P: ₹20,999₹20,999 (14% off)10% Off on select cards10% Off on select cards FREE delivery Sat, 1 Feb Or fastest delivery Today Add to cart-Remove",https://www.amazon.in/OnePlus-Super-Silver-128GB-Storage/dp/B0D5YCYS1G/ref=sr_1_6?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBIDyerTatsbYLfbLTzZOtIOI_A4wKUzpQO9Bfkz77owxxV-sQA-2iYlWpxFQGguubTv-NA3ogXbOkmxE9ed9HLFOhJaWFA-OsOMID_OpgDjCgO4I2R6FMrLP8WmDWz2izMQixkmp3tnUUfwdc0TBravL9IwPxmF1h1wA_rPUcPZgdcfVvHZFD-Y5OdgAiaGnZ-c36--3EB9F2hzwFcDz7z420.DV-7XYcFVvKhs9_g9zlCO09IzwobRReJ7yzi0if3UP4&dib_tag=se&keywords=mobiles&qid=1738213605&sr=8-6,"17,998",4.1,"4,381"
"iQOO Z9 Lite 5G (Mocha Brown, 6GB RAM, 128GB Storage) | Dimensity 6300 5G | 50MP Sony AI Camera | Charger in The Box 4.0 out of 5 stars 3,022  5K+ bought in past monthLimited time deal  ₹11,498₹11,498 M.R.P: ₹15,499₹15,499 (26% off)Flat INR 500 Off on HDFC BankCardsFlat INR 500 Off on HDFC BankCardsFREE delivery as soon as Sun, 2 Feb, 9 am - 5 pm Or fastest delivery Tomorrow, 31 Jan Add to cart-Remove",https://www.amazon.in/iQOO-Storage-Dimensity-Camera-Charger/dp/B07WHQS4LB/ref=sr_1_7?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBIDyerTatsbYLfbLTzZOtIOI_A4wKUzpQO9Bfkz77owxxV-sQA-2iYlWpxFQGguubTv-NA3ogXbOkmxE9ed9HLFOhJaWFA-OsOMID_OpgDjCgO4I2R6FMrLP8WmDWz2izMQixkmp3tnUUfwdc0TBravL9IwPxmF1h1wA_rPUcPZgdcfVvHZFD-Y5OdgAiaGnZ-c36--3EB9F2hzwFcDz7z420.DV-7XYcFVvKhs9_g9zlCO09IzwobRReJ7yzi0if3UP4&dib_tag=se&keywords=mobiles&qid=1738213605&sr=8-7,"11,498",4.0,"3,022"
"Redmi A4 5G (Sparkle Purple, 4GB RAM, 64GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging 4.0 out of 5 stars 946  5K+ bought in past month₹8,499₹8,499 M.R.P: ₹10,999₹10,999 (23% off)Up to 5% back with Amazon Pay ICICI cardUp to 5% back with Amazon Pay ICICI card FREE delivery Sat, 1 Feb Or fastest delivery Today Add to cart-Remove+1 other color/pattern",https://www.amazon.in/Redmi-Sparkle-Storage-Segment-Charging/dp/B0DLW427YG/ref=sr_1_8?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBIDyerTatsbYLfbLTzZOtIOI_A4wKUzpQO9Bfkz77owxxV-sQA-2iYlWpxFQGguubTv-NA3ogXbOkmxE9ed9HLFOhJaWFA-OsOMID_OpgDjCgO4I2R6FMrLP8WmDWz2izMQixkmp3tnUUfwdc0TBravL9IwPxmF1h1wA_rPUcPZgdcfVvHZFD-Y5OdgAiaGnZ-c36--3EB9F2hzwFcDz7z420.DV-7XYcFVvKhs9_g9zlCO09IzwobRReJ7yzi0if3UP4&dib_tag=se&keywords=mobiles&qid=1738213605&sr=8-8,"8,499",4.0,946
"Redmi A4 5G (Starry Black, 4GB RAM, 64GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging 4.0 out of 5 stars 946  5K+ bought in past month₹8,499₹8,499 M.R.P: ₹10,999₹10,999 (23% off)Up to 5% back with Amazon Pay ICICI cardUp to 5% back with Amazon Pay ICICI card FREE delivery Sat, 1 Feb Or fastest delivery Today Add to cart-Remove+1 other color/pattern",https://www.amazon.in/Redmi-Storage-Segment-Largest-Charging/dp/B0DLW1L5PR/ref=sr_1_9?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBIDyerTatsbYLfbLTzZOtIOI_A4wKUzpQO9Bfkz77owxxV-sQA-2iYlWpxFQGguubTv-NA3ogXbOkmxE9ed9HLFOhJaWFA-OsOMID_OpgDjCgO4I2R6FMrLP8WmDWz2izMQixkmp3tnUUfwdc0TBravL9IwPxmF1h1wA_rPUcPZgdcfVvHZFD-Y5OdgAiaGnZ-c36--3EB9F2hzwFcDz7z420.DV-7XYcFVvKhs9_g9zlCO09IzwobRReJ7yzi0if3UP4&dib_tag=se&keywords=mobiles&qid=1738213605&sr=8-9,"8,499",4.0,946
"Best sellerin SmartphonesRedmi A4 5G (Sparkle Purple, 4GB RAM, 128GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging 4.0 out of 5 stars 946  5K+ bought in past month₹8,999₹8,999 M.R.P: ₹11,999₹11,999 (25% off)Up to 5% back with Amazon Pay ICICI cardUp to 5% back with Amazon Pay ICICI card FREE delivery Sat, 1 Feb Or fastest delivery Today Add to cart-Remove+1 other color/pattern",https://www.amazon.in/Redmi-Sparkle-Storage-Segment-Charging/dp/B0DLW44CGS/ref=sr_1_10?dib=eyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBIDyerTatsbYLfbLTzZOtIOI_A4wKUzpQO9Bfkz77owxxV-sQA-2iYlWpxFQGguubTv-NA3ogXbOkmxE9ed9HLFOhJaWFA-OsOMID_OpgDjCgO4I2R6FMrLP8WmDWz2izMQixkmp3tnUUfwdc0TBravL9IwPxmF1h1wA_rPUcPZgdcfVvHZFD-Y5OdgAiaGnZ-c36--3EB9F2hzwFcDz7z420.DV-7XYcFVvKhs9_g9zlCO09IzwobRReJ7yzi0if3UP4&dib_tag=se&keywords=mobiles&qid=1738213605&sr=8-10,"8,999",4.0,946
